time,low,high,open,close,volume,norm_close,fisher,macd,macd_signal,sma,wma
2023-03-07 04:00:00,22453.96,22472.83,22460.65,22466.82,29.56945696,0.5859397417503547,,0.0,0.0,,
2023-03-07 03:00:00,22444.01,22557.03,22499.15,22459.43,225.10449163,0.5505978000956472,0.67146044652969,-0.5895156695150945,-0.1179031339030189,,
2023-03-07 02:00:00,22452.65,22509.44,22484.58,22499.16,196.93735775,0.7406025824964082,0.619238779048694,2.12467593607289,0.33061268009216294,,
2023-03-07 01:00:00,22408.69,22507.17,22411.53,22484.01,402.1525317,0.6681492109038626,0.9518126639281639,3.018419491036184,0.8681740422809672,,
2023-03-07 00:00:00,22375.0,22428.94,22410.13,22412.62,220.80101831,0.32673362027737446,0.8073922982185644,-2.0106807948577625,0.29240307485322126,,
2023-03-06 23:00:00,22390.74,22446.58,22433.98,22410.31,313.06285722,0.31568627450981035,0.33916710757757396,-6.112218844547897,-0.9885213090270025,,
2023-03-06 22:00:00,22403.81,22450.23,22409.28,22434.54,1913.32531038,0.43156384505021833,0.32684860738463445,-7.323142173005181,-2.2554454818226386,,
2023-03-06 21:00:00,22318.74,22442.08,22351.4,22409.12,298.20400688,0.3099952175992302,0.46181686058124716,-10.216222932642268,-3.8476009719865645,,
2023-03-06 20:00:00,22329.97,22415.28,22393.96,22349.49,688.36143744,0.02482065997131647,0.3205401184590144,-17.123266571303247,-6.502734091849901,,
2023-03-06 19:00:00,22360.0,22512.32,22501.83,22395.8,565.74212393,0.24629363940697974,0.02482575890417808,-18.64538604237532,-8.931264481954987,22432.129999999997,22413.860181818178
2023-03-06 18:00:00,22468.97,22538.93,22480.51,22502.29,214.53130987,0.7555714968914393,0.2514632436334802,-11.130517980767763,-9.371115181717542,22435.677,22426.616545454544
2023-03-06 17:00:00,22470.14,22534.22,22523.78,22480.74,291.47783939,0.652510760401726,0.9858134384088275,-6.835045647818333,-8.8639012749377,22437.808,22434.809818181817
2023-03-06 16:00:00,22469.14,22586.61,22552.64,22523.78,834.39092238,0.8583452893352352,0.7796586919767976,0.04163547512507648,-7.082793924925145,22440.27,22450.44109090909
2023-03-06 15:00:00,22429.42,22599.99,22449.2,22553.4,1036.5775459,1.0,1.2870246299876151,7.7917231301325955,-4.107890513913597,22447.209,22471.01018181818
2023-03-06 14:00:00,22403.22,22481.83,22440.63,22449.16,461.83555724,0.5014825442372046,inf,5.459492966620019,-2.194413817806874,22450.863,22471.364909090906
2023-03-06 13:00:00,22387.04,22485.0,22397.77,22439.72,264.23885956,0.45633668101387326,0.5512848282210083,2.8169822349045717,-1.192134607264585,22453.804,22469.33890909091
2023-03-06 12:00:00,22356.5,22414.9,22381.25,22398.46,153.28654526,0.25901482544236865,0.4926746413245887,-2.576859304019308,-1.4690795466155298,22450.196,22459.276363636363
2023-03-06 11:00:00,22357.72,22401.7,22399.36,22380.73,189.46356383,0.17422285987565717,0.265052095896749,-8.187796586033073,-2.8128229544990386,22447.357,22446.64618181818
2023-03-06 10:00:00,22363.79,22414.64,22402.76,22399.36,427.11845261,0.2633189861310413,0.17601844046857082,-11.004367999736132,-4.451131963546457,22452.344,22437.919454545452
2023-03-06 09:00:00,22363.32,22422.29,22414.66,22403.7,366.26047147,0.28407460545194085,0.2696713356125586,-12.739466765462566,-6.10879892392968,22453.134000000002,22429.075090909093
2023-03-06 08:00:00,22357.48,22450.0,22392.21,22415.62,229.90303656,0.34108082257292666,0.2921088112616727,-13.00281233102578,-7.4876016053489005,22444.467,22422.254363636363
2023-03-06 07:00:00,22387.09,22433.6,22408.0,22392.21,106.20502474,0.22912482065996823,0.35531513456396235,-14.928421394291945,-8.97576556313751,22435.613999999998,22412.75309090909
2023-03-06 06:00:00,22367.22,22434.88,22371.67,22408.01,122.83133686,0.30468675274987306,0.233265600617608,-15.006566143070813,-10.181925679124172,22424.037,22407.73418181818
2023-03-06 05:00:00,22315.11,22372.72,22343.73,22371.68,149.3354814,0.13094213295074478,0.3146778976228024,-17.79489532068328,-11.704519607435994,22405.864999999998,22398.214727272727
2023-03-06 04:00:00,22335.03,22401.84,22388.95,22344.3,194.89770911,0.0,0.13169829843432077,-21.96085242199115,-13.755786170347026,22395.378999999997,22387.02109090909
2023-03-06 03:00:00,22370.56,22419.71,22393.64,22389.5,176.80842588,0.21616451458632355,0.0,-21.368814795703656,-15.278391895418352,22390.356999999996,22385.952181818182
2023-03-06 02:00:00,22264.73,22408.19,22383.04,22393.64,742.5729332,0.23596365375418282,0.2196290933391463,-20.33119198541317,-16.288951913417318,22389.875,22386.549090909088
2023-03-06 01:00:00,22325.0,22511.85,22449.4,22384.12,633.19617762,0.19043519846962836,0.2404954347912005,-20.045975345034094,-17.040356599740672,22390.214,22385.502727272727
2023-03-06 00:00:00,22365.08,22469.99,22431.99,22449.17,286.4217143,0.5015303682448489,0.19278870551553787,-14.404897061602242,-16.513264692112987,22395.195,22396.222
2023-03-05 23:00:00,22362.58,22458.98,22434.33,22432.69,384.26768627,0.4227164036346174,0.5513487220956756,-11.135734337418398,-15.43775862117407,22398.093999999997,22403.039272727274
